ID,ALIMENTO,Energia KJ,Energia Kcal,Umidade g,Carboidrato total,Carboidrato disponível,Proteína,Lipídios,Fibra alimentar,Álcool,Cinzas,Colesterol,Ácidos graxos saturados,Ácidos graxos monoinsaturados,Ácidos graxos polinsaturados,Ácidos graxos trans,Cálcio,Ferro,Sódio,Magnésio,Fósforo,Potássio,Zinco,Cobre,Selênio,Vitamina A (RE),Vitamina A (RAE),Vitamina D,Alfa-tocoferol (Vitamina E),Tiamina,Riboflavina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Equivalente de folato,Sal de adição,Açúcar de adição
C0117B,"Batata, inglesa, s/ casca, cozida, drenada, s/ óleo, c/ sal,Solanum tuberosum L.,",220,52,"85,5","12,2","10,8","1,33","0,05","1,46",0,"0,92",0,"0,01",tr,"0,02",0,"3,74","0,2",190,"5,59","25,1",231,"0,19","0,06","0,2",tr,tr,0,tr,"0,05",tr,tr,"0,09",0,"3,87","5,64","0,32",0
C0097N,"Suplemento, à  base de proteina, em pó,",1465,357,"3,44","3,22","3,22","78,1","1,56","3,1",0,"10,6",16,"0,78","0,16","0,3",0,469,"1,13",156,195,1321,500,"6,18","0,05","26,7",NA,0,0,0,"0,61","2,02","1,14","0,61","2,45",0,33,NA,NA
C0091E,"Peixe, água doce, Corimba, cozido, s/ óleo, c/ sal, Prochilodus lineatus,",628,150,"73,2",0,0,"22,2","6,8",0,0,"1,13","62,6","3,58","1,71","0,43","0,02","13,7","0,17","45,4","29,6",213,441,"0,54","0,02","29,9",tr,tr,"1,36","0,57",tr,tr,"3,96",tr,"4,37","0,84","11,8","0,45",0
C0089E,"Peixe, água doce, Corvina, cozido, s/ óleo, c/ sal, Plagioscion squamossissimus,",623,149,"70,7",0,0,"20,9","7,21",0,0,"1,24","48,5","3,01","2,77","0,36","0,05","48,3","0,61","56,6","27,4",229,381,"0,48","0,04","29,9",tr,tr,"1,36","0,57",tr,tr,"2,14",tr,"4,37","0,84","11,8","0,45",0
C0093E,"Peixe, água doce, Dourado, filé, fresco, cozido, s/ óleo, c/ sal, Brachyplatystoma flavicans,",740,177,"66,5",0,0,"18,9","11,3",0,0,"2,66",173,"4,1","3,96","1,33","0,13",711,"0,76","49,5","38,1",531,249,"2,91","0,06","29,9",tr,tr,"1,36","0,57",tr,"0,04","2,13","0,08","4,37","0,84","11,8","0,45",0
C0103E,"Peixe, água doce, filé, cozido, s/ óleo, c/ sal (média de 7 espécies),",592,141,"70,5",0,0,"23,4","5,28",0,0,"1,55","91,1","2,19","1,73","0,54","0,04",134,"0,41","51,9","30,5",249,331,"0,9","0,06","37,1","1,59","1,59","1,67","0,71","0,01","0,04","3,5","0,03","4,02","0,61","14,2","0,45",0
C0113E,"Peixe, água doce, filé, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal (média de 7 espécies),",503,120,75,"1,34","0,83","17,7","4,97","0,51",0,"1,49","67,6","1,79","1,52","1,02","0,03",102,"0,45",126,"28,4",213,350,"0,72","0,07","27,6",29,"15,1","1,24","0,76","0,03","0,04","2,74","0,04","2,98","4,55","14,5","0,45",0
C0104E,"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies),",590,140,"70,1",0,0,"23,2","5,26",0,0,"1,99","90,7","2,18","1,72","0,54","0,04",134,"0,41",231,"30,4",248,329,"0,89","0,06","36,9","2,19","1,89","1,66","0,71","0,01","0,04","3,49","0,03",4,"0,6","14,1","0,45",0
C0097E,"Peixe, água doce, Pintado, cozido, s/ óleo, c/ sal, Pseudoplatystoma corruscans,",456,108,"74,5",0,0,"22,3","2,08",0,0,"1,01","61,2","0,07","0,61","0,44",tr,"11,6","0,65","60,5","31,4",197,351,"0,38","0,09","48,7",0,0,"3,41","0,49","0,04","0,07","4,32","0,16","1,66",0,"23,8","0,45",0
C0099E,"Peixe, água doce, Tilápia, filé s/ pele, cozido, s/ óleo, c/ sal, Oreochromis niloticus,",471,112,"72,6",0,0,"23,1","2,12",0,0,"1,44","81,5","1,04","0,7","0,7","0,02","26,1","0,37","76,9","34,9",228,391,"0,6","0,13","29,9",tr,tr,"1,36","0,57",tr,"0,07","1,16",tr,"4,37","0,84","11,8","0,45",0
C0130E,"Peixe, água salgada, atum, assado/grelhado, s/ óleo, c/ sal, Thunnus thynnus,",631,149,"63,3",0,0,"34,5","1,17",0,0,"2,21","64,3","0,67","0,27",tr,tr,"9,92","1,46",214,39,307,351,"0,54","0,11","41,5","24,6","24,6","1,23","0,24",tr,"0,05","7,19",tr,"9,64",0,"11,8","0,45",0
C0365E,"Peixe, água salgada, bacalhau, salgado, dessalgado, cozido, s/ óleo, s/ sal,",356,84,78,0,0,"20,4","0,25",0,0,"1,33",61,"0,05","0,06","0,11",NA,17,"0,16",134,35,205,372,"0,43","0,02",NA,tr,tr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
C0044E,"Peixe, água salgada, bacalhau, salgado, dessalgado, refogado,",562,133,"65,9","1,22","1,22",24,"3,61",0,0,"5,28",111,"0,9","1,1","1,2",1,"59,1","0,15",1256,"15,1","51,3","50,2","0,56","0,04",NA,tr,tr,"5,03","3,4","0,03","0,05","10,6",tr,"1,49","1,42","11,3",NA,0
C0064E,"Peixe, água salgada, Merluza, filé, frito, s/ sal,",770,184,"63,2",0,0,"26,8","8,5",0,0,"1,53",109,"1,4","2,09","4,27",NA,"35,6","0,38",90,"38,1",278,446,"0,56","0,03",NA,tr,tr,NA,NA,tr,tr,"0,77",tr,NA,NA,NA,0,0
C0228E,"Peixe, água salgada, pescada, branca, assado/grelhado, c/ manteiga e alcaparra, c/ sal,",682,163,"69,1","0,24","0,24","19,1","9,53",0,0,"1,98","69,4","3,41","3,83","1,13","0,18","20,8","0,25",391,"21,8",144,262,"0,31","0,02","38,9","2,91","3,23","5,16","1,29",0,"0,05","0,66",0,"2,51","0,2","13,8","0,45",0
C0202E,"Peixe, água salgada, salmão, filé, s/ pele, frito (c/ óleo de soja), c/ sal,Salmo salar L.,",886,213,"63,9","0,83","0,83","19,3","14,7",0,0,"1,27",53,"3,23","4,07","6,13",NA,"8,76","0,21","72,6","24,7",232,320,"0,34","0,04","21,2",0,0,"6,37","2,18","0,16","0,03","2,89",0,"2,57",0,"18,4","0,45",0
C0116B,"Couve-flor, cozida, drenada, s/ óleo, c/ sal,Brassica oleracea var. botrytis L.,",69,16,"94,8","3,41","1,36","1,28","0,2","2,05",0,"0,32",0,"0,08",tr,"0,08",0,"14,9","0,12",129,"5,01","23,4","74,1","0,24",tr,"0,34","3,67","1,83",0,"0,03","0,03",tr,tr,tr,0,"21,8","32,7","0,32",0
C0091T,"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal,Phaseolus vulgaris L.,",330,79,"77,7","14,6","7,77","4,69","1,72","6,84",0,"1,3",0,"0,28","0,38","1,01","0,01","28,2","1,34",190,"44,2","92,7",276,"0,74","0,2","0,05","0,26","0,13",0,"0,9","0,04",tr,tr,"0,01",0,"0,45","94,3","0,47",0
C0151B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal,",124,30,"92,5","5,98","4,44","0,39","0,8","1,55",0,"0,37",0,"0,12","0,19","0,45",0,"19,2","0,11",130,"7,5","11,7",183,"0,08","0,04","1,07","95,3","47,7",0,"1,51","0,05",tr,tr,"0,05",-,"6,73","8,45","0,32",0
C0355B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal,",107,26,91,"5,92","2,33","1,8","0,21","3,59",0,"1,06",0,"0,05","0,03","0,02",0,5,tr,127,"2,99","12,8",201,"0,11","0,08","1,78",513,256,0,"2,23",tr,tr,tr,"0,09",0,"12,5","11,6","0,32",0
C0226B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal,",158,38,"91,6","3,89","1,53","1,18","2,52","2,36",0,"0,81",0,"0,39","0,58","1,44","0,01","3,15",tr,127,"1,18","7,55","66,2","0,06","0,06","1,05",334,167,0,"1,75",0,tr,tr,"0,04",0,"6,65","5,45","0,32",0
C0228B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal,",108,26,"91,5","6,65","4,15","0,73","0,13","2,5",0,"0,97",0,"0,03","0,02","0,01",0,"9,17","0,23",128,"4,84","30,9",143,"0,14","0,09","1,08",525,262,0,"1,38",tr,tr,tr,"0,04",0,"1,48","7,76",0,0
C0232B,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal,",146,35,"92,9","2,75","1,28","0,96","2,61","1,47",0,"0,74",0,"0,47","0,56","1,54",0,"15,5","0,15",128,"15,6","20,7",116,"0,24","0,02","0,07","74,2","37,1",0,"0,36","0,05",tr,tr,"0,06",0,"1,97","25,5","0,32",0
C0153B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal,",107,26,"93,5","4,19","2,81","1,07","0,82","1,38",0,"0,43",0,"0,13","0,18","0,46",0,"20,7","0,36",130,"12,7","31,8",193,"0,27","0,02",-,"41,6","20,8",-,-,"0,04",tr,tr,tr,0,"7,53",-,"0,32",0
C0063B,"Alface, americana, crua,Lactuca sativa L.,",25,6,"97,7","1,5","0,26","0,41","0,11","1,24",0,"0,28",0,"0,15",tr,"0,06",0,"11,7","0,22","5,93","4,65","15,7",110,"0,18","0,02","0,2",317,158,0,"0,13","0,02",tr,tr,"0,03",0,"8,89","13,3",0,0
C0060B,"Alface, crespa, crua,Lactuca sativa L.,",43,10,"96,1","1,7",0,"1,35","0,16","1,83",0,"0,7",0,"0,21",tr,"0,09",0,38,"0,4","3,38",11,"25,8",267,"0,25","0,03","0,2",329,164,0,"0,23","0,11","0,12","1,09",tr,0,"15,6","29,6",0,0
